dCalendário[Ano];d_IES[UF];d_IES[Organização Acadêmica];dimUnidade[Instituicao];d_IES[Instituição (Nome)];dimCurso[nomeCurso];dimCurso[tipoCurso];dimCurso[tipoEixoTecnologico];dimCurso[SubeixoTecnologico];Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente Apresentada Geral
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Química;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;6;30;344;169;36;185,9
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Sistemas de Informação;Bacharelado;Informação e Comunicação;Informática;1;13;37;119;203;37;245,63
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Sistemas Para Internet;Tecnologia;Informação e Comunicação;Informática;1;11;30;260;117;32;146,25
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Administração;Técnico;Gestão e Negócios;Gestão e Negócios;7;266;82;127;794;81;873,4000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Agroecologia;Técnico;Recursos Naturais;Agrícola;4;49;30;210;218;30;261,59999999999997
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Agroindústria;Técnico;Produção Alimentícia;Agroindustria;1;31;30;253;130;32;149,5
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Agropecuária;Técnico;Recursos Naturais;Agrícola;5;195;116;540;919;122;1102,8
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Alimentação Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;2;;;225;;247,50000000000003
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Alimentos;Técnico;Produção Alimentícia;Alimentos;3;138;38;76;545;38;654
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Aquicultura;Técnico;Recursos Naturais;Pesca;1;3;;;32;;38,4
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Cafeicultura;Técnico;Recursos Naturais;Agrícola;1;17;33;64;68;35;81,6
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Comércio;Técnico;Gestão e Negócios;Gestão e Negócios;1;3;;;3;;3,0300000000000002
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Contabilidade;Técnico;Gestão e Negócios;Gestão e Negócios;1;2;;;2;;2
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Controle Ambiental;Técnico;Ambiente e Saúde;Meio Ambiente;1;6;38;38;102;40;118,32
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Design de Móveis;Técnico;Produção Cultural e Design;Design;2;9;34;144;126;50;151,2
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Edificações;Técnico;Infraestrutura;Civil;2;31;65;476;243;65;315,90000000000003
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;3;33;93;422;313;95;397,51
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;1;6;35;251;141;35;179,07
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;7;66;154;655;483;155;613,41
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Enfermagem;Técnico;Ambiente e Saúde;Saúde;3;82;84;1114;345;82;448,5
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Eventos;Técnico;Turismo, Hospitalidade e Lazer;Eventos;3;63;52;459;329;60;361,90000000000003
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Finanças;Técnico;Gestão e Negócios;Gestão e Negócios;1;71;;;82;;82
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Florestas;Técnico;Recursos Naturais;Agrícola;1;29;;;66;;79,2
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Gerência de Saúde;Técnico;Ambiente e Saúde;Saúde;2;111;;;161;;161
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Guia de Turismo;Técnico;Turismo, Hospitalidade e Lazer;Turismo;3;3;22;25;50;25;53,5
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Hospedagem;Técnico;Turismo, Hospitalidade e Lazer;Hospitalidade;1;31;42;237;153;43;162,18
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Informática;Técnico;Informação e Comunicação;Informática;10;131;269;1462;760;268;950
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Informática Para Internet;Técnico;Informação e Comunicação;Informática;2;11;1;;242;;302,5
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Infraestrutura Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;8;;;44;;46,2
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Logística;Técnico;Gestão e Negócios;Gestão e Negócios;1;59;;;149;;151,98
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Manutenção de Sistemas Metroferroviários;Técnico;Controle e Processos Industriais;Mecânica;3;18;70;140;198;70;251,46
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Manutenção e Suporte em Informática;Técnico;Informação e Comunicação;Informática;1;9;20;31;41;40;51,25
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Mecânica;Técnico;Controle e Processos Industriais;Mecânica;5;54;122;840;422;121;535,94
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;8;119;116;229;341;138;368,28000000000003
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Metalurgia;Técnico;Controle e Processos Industriais;Mecânica;2;36;64;249;255;65;323,85
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Multimeios Didáticos;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;26;;;148;;155,4
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Nutrição e Dietética;Técnico;Ambiente e Saúde;Saúde;1;27;40;235;130;40;143
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Orientação Comunitária;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Social;2;28;26;38;65;40;65
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Química;Técnico;Produção Industrial;Química;1;35;33;218;126;33;160,02
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Reciclagem;Técnico;Ambiente e Saúde;Meio Ambiente;1;19;;;73;;80,30000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Redes de Computadores;Técnico;Informação e Comunicação;Informática;1;30;;;95;;118,75
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Secretaria Escolar;Técnico;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;108;;;186;;186
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Secretariado;Técnico;Gestão e Negócios;Gestão e Negócios;4;51;48;146;312;65;312
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Segurança do Trabalho;Técnico;Segurança;Segurança;5;283;104;366;875;121;971,2500000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Serviços Jurídicos;Técnico;Gestão e Negócios;Gestão e Negócios;2;31;39;73;90;40;90
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Serviços Públicos;Técnico;Gestão e Negócios;Gestão e Negócios;1;40;;;118;;118
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Transações Imobiliárias;Técnico;Gestão e Negócios;Gestão e Negócios;3;82;54;409;360;60;360
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Transporte de Cargas;Técnico;Infraestrutura;Logistica;3;29;70;119;185;70;203,50000000000003
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Transporte Metroferroviário;Técnico;Infraestrutura;Logistica;3;2;;;5;;5,5
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Transporte Rodoviário;Técnico;Infraestrutura;Logistica;1;4;18;37;53;25;58,300000000000004
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Vendas;Técnico;Gestão e Negócios;Gestão e Negócios;2;1;32;45;33;40;33
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Técnico em Zootecnia;Técnico;Recursos Naturais;Pecuária;2;121;44;115;306;42;367,2
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;Zootecnia;Bacharelado;Recursos Naturais;Pecuária;1;25;46;142;199;46;218,9
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Administração;Bacharelado;Gestão e Negócios;Gestão e Negócios;4;55;196;1758;660;208;660
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Agronomia;Bacharelado;Recursos Naturais;Agrícola;2;48;50;35;361;35;415,15
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Alemão Básico ­ A1;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;25;26;50;26;26;1,95
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Alimentos;Tecnologia;Produção Alimentícia;Alimentos;1;;;;2;;2,4
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Análise e Desenvolvimento de Sistemas;Tecnologia;Informação e Comunicação;Informática;1;3;;;7;;8,75
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Arquitetura e Urbanismo;Bacharelado;Infraestrutura;Civil;1;;46;39;153;40;183,6
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Assistente de Dramaturgia;Qualificação Profissional (FIC);Produção Cultural e Design;Arte e Cultura;2;54;61;137;61;102;4,575
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Auxiliar de Agropecuária;Qualificação Profissional (FIC);Recursos Naturais;Agrícola;1;4;4;4;4;4;0,48
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Cervejeiro;Qualificação Profissional (FIC);Produção Alimentícia;Agroindustria;1;15;15;111;15;15;1,9500000000000002
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Ciência da Computação;Bacharelado;Informação e Comunicação;Informática;1;15;41;254;150;48;165
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Ciências Biológicas;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;11;44;379;129;44;141,9
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Conservação e Restauro;Tecnologia;Produção Cultural e Design;Conservação;1;26;35;334;130;36;149,5
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Cuidador de Idoso;Qualificação Profissional (FIC);Ambiente e Saúde;Saúde;1;18;24;59;24;24;4,800000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Design de Interiores;Tecnologia;Produção Cultural e Design;Design;1;11;47;40;95;40;109,24999999999999
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Eletricista de Rede de Distribuição de Energia Elétrica;Qualificação Profissional (FIC);Controle e Processos Industriais;Elétrica;1;15;26;26;26;30;0,65
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Eletricista Industrial;Qualificação Profissional (FIC);Controle e Processos Industriais;Elétrica;1;13;31;31;31;31;0,775
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia Civil;Bacharelado;Infraestrutura;Civil;3;;106;146;316;86;360,23999999999995
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia de Alimentos;Bacharelado;Produção Alimentícia;Alimentos;1;;36;358;105;40;111,30000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia de Computação;Bacharelado;Informação e Comunicação;Informática;1;;27;148;126;30;133,56
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia de Controle e Automação;Bacharelado;Controle e Processos Industriais;Automação;1;1;53;267;132;53;157,07999999999998
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia de Produção;Bacharelado;Controle e Processos Industriais;Mecânica;4;58;164;850;858;167;995,28
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia Elétrica;Bacharelado;Controle e Processos Industriais;Elétrica;2;;80;279;181;80;209,95999999999998
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia Eletrônica;Bacharelado;Controle e Processos Industriais;Elétrica;1;23;43;324;191;44;221,55999999999997
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia Florestal;Bacharelado;Recursos Naturais;Agrícola;1;;38;38;97;38;111,55
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia Mecânica;Bacharelado;Controle e Processos Industriais;Mecânica;3;;144;1256;396;138;459,35999999999996
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Engenharia Metalúrgica;Bacharelado;Controle e Processos Industriais;Mecânica;1;;51;284;180;51;208,79999999999998
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Especialização - Ambiente e Saúde;Especialização (Lato Sensu);Ambiente e Saúde;Ambiente e Saúde;1;4;;;29;;29
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Especialização - Desenvolvimento Educacional e Social;Especialização (Lato Sensu);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;1;2;12;31;18;15;18
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Especialização - Gestão e Negócios;Especialização (Lato Sensu);Gestão e Negócios;Gestão e Negócios;1;1;;;6;;6
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Especialização - Produção Alimentícia;Especialização (Lato Sensu);Produção Alimentícia;Produção Alimentícia;1;14;;;20;;20
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Especialização - Segurança;Especialização (Lato Sensu);Segurança;Segurança;1;16;;;68;;68
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Física;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;3;23;115;929;333;122;366,3
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Gastronomia;Tecnologia;Turismo, Hospitalidade e Lazer;Hospitalidade;2;8;21;1067;75;21;90
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Geografia;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;20;40;581;191;40;206,28
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Gestão Ambiental;Tecnologia;Ambiente e Saúde;Meio Ambiente;2;31;78;79;213;80;234,3
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Gestão da Qualidade;Tecnologia;Gestão e Negócios;Gestão e Negócios;1;28;;;136;;136
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Gestão Financeira;Tecnologia;Gestão e Negócios;Gestão e Negócios;1;37;48;384;151;48;151
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Informática;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;1;;;80;;86,4
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Inglês Básico;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;228;230;362;230;228;21,625
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Introdução à Interpretação em Língua Brasileira de Sinais (Libras);Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;31;31;32;31;32;0,775
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Língua Brasileira de Sinais (Libras) ­ Básico;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional;4;190;227;357;227;247;15,975
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Logística;Tecnologia;Gestão e Negócios;Gestão e Negócios;1;;1;;44;;48,400000000000006
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Matemática;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;2;20;77;294;257;80;277,56
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Mestrado Profissional - Recursos Naturais;Mestrado Profissional;Recursos Naturais;Recursos Naturais;1;20;19;92;59;19;59
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Pedagogia;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;1;;43;340;43;43;43
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Processos Gerenciais;Tecnologia;Gestão e Negócios;Gestão e Negócios;2;62;74;885;302;75;302
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Produtor Agropecuário;Qualificação Profissional (FIC);Recursos Naturais;Agrícola;1;14;14;15;14;15;0,3675
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Programador de Sistemas;Qualificação Profissional (FIC);Informação e Comunicação;Informática;1;;10;12;10;12;0,625
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Ambiente e Saúde;Qualificação Profissional (FIC);Ambiente e Saúde;Ambiente e Saúde;1;9;;;11;;1,1
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Controle e Processos Industriais;Qualificação Profissional (FIC);Controle e Processos Industriais;Controle e Processos Industriais;1;;12;45;12;12;0,6000000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;5;133;102;111;153;125;9,799999999999999
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Gestão e Negócios;Qualificação Profissional (FIC);Gestão e Negócios;Gestão e Negócios;1;7;24;24;24;30;0,6000000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Informação e Comunicação;Qualificação Profissional (FIC);Informação e Comunicação;Informação e Comunicação;1;71;71;82;71;82;2,6625
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Produção Alimentícia;Qualificação Profissional (FIC);Produção Alimentícia;Produção Alimentícia;1;13;13;14;13;15;0,40625
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Produção Cultural e Design;Qualificação Profissional (FIC);Produção Cultural e Design;Produção Cultural e Design;2;41;57;149;57;62;7,257500000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Qualificação Profissional - Recursos Naturais;Qualificação Profissional (FIC);Recursos Naturais;Recursos Naturais;1;4;4;4;4;4;0,75
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Silvicultura;Tecnologia;Recursos Naturais;Agrícola;1;;;;3;;3,5999999999999996
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Sistemas de Informação;Bacharelado;Informação e Comunicação;Informática;3;25;90;305;259;92;313,39
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Açúcar e Álcool;Técnico;Produção Industrial;Petroquímico;2;6;;;8;;10,16
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Administração;Técnico;Gestão e Negócios;Gestão e Negócios;11;191;297;1080;853;293;938,3000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Agricultura;Técnico;Recursos Naturais;Agrícola;1;3;;;4;;4,8
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Agropecuária;Técnico;Recursos Naturais;Agrícola;3;111;211;211;603;224;723,6
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Análises Químicas;Técnico;Produção Industrial;Química;1;9;1;;67;;85,09
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Artesanato;Técnico;Produção Cultural e Design;Arte e Cultura;1;14;;;31;;34,1
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Automação Industrial;Técnico;Controle e Processos Industriais;Automação;5;167;183;740;791;185;1004,57
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Controle Ambiental;Técnico;Ambiente e Saúde;Meio Ambiente;1;34;;;58;;67,28
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Desenho de Construção Civil;Técnico;Infraestrutura;Civil;1;;;;19;;22,8
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Edificações;Técnico;Infraestrutura;Civil;7;459;334;930;1312;358;1705,6000000000001
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Eletroeletrônica;Técnico;Controle e Processos Industriais;Elétrica;3;14;40;80;94;40;119,38
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Eletrônica;Técnico;Controle e Processos Industriais;Elétrica;2;1;8;48;36;8;45,72
2017;MG;Institutos Federais, Cefet's e Colégio Pedro II;IFMG;Instituto Federal de Minas Gerais;Técnico em Eletrotécnica;Técnico;Controle e Processos Industriais;Elétrica;6;23;110;131;266;108;337,82
